,Shrt_Desc,Water_(g),Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Copper_mg),Panto_Acid_mg),Vit_A_IU,Vit_A_RAE,Vit_D_µg,Vit_D_IU,FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,Calcium_(g),Iron_(g),Magnesium_(g),Phosphorus_(g),Potassium_(g),Sodium_(g),Zinc_(g),Manganese_(g),Selenium_(g),Vit_C_(g),Thiamin_(g),Riboflavin_(g),Niacin_(g),Vit_B6_(g),Folate_Tot_(g),Folic_Acid_(g),Food_Folate_(g),Folate_DFE_(g),Choline_Tot_ (g),Vit_B12_(g),Retinol_(g),Alpha_Carot_(g),Beta_Carot_(g),Beta_Crypt_(g),Lycopene_(g),Lut+Zea_ (g),Vit_E_(g),Vit_K_(g),Cholestrl_(g)
0,SILK KEY LIME SOY YOGURT,77.59,2.35,1.18,1.24,17.65,0.6,12.35,,,0.0,,,,0.0,,,170.0,1 container,,,0.0,0.176,0.00064,,,,0.015,,,,0.0176,,,,,,,,,,,,,,,,,,,0.0
1,"FAST FOODS,SALAD,VEG,TOSSED,WO/DRSNG",95.51,1.25,0.07,0.53,3.22,,,0.05,0.12,1136.0,57.0,,,0.01,0.004,0.034,104.0,.75 cup,207.0,1.5 cup,0.0,0.013,0.00063,0.011,0.039,0.172,0.026,0.00020999999999999998,0.000147,4e-06,0.0232,2.9999999999999997e-05,5e-05,0.00055,8e-05,0.00037,0.0,0.00037,0.00037,,0.0,0.0,,,,,,,,0.0
2,"CUTTLEFISH,MXD SP,CKD,MOIST HEAT",61.12,32.48,1.4,3.36,1.64,0.0,,0.998,0.9,675.0,203.0,,,0.236,0.162,0.268,85.0,3 oz,,,0.0,0.18,0.01084,0.06,0.58,0.637,0.744,0.00346,0.00020899999999999998,0.000896,0.0085,1.7e-05,0.001729,0.002189,0.00027,0.00024,0.0,0.00024,0.00024,,5.4000000000000005e-05,0.00203,,,,,,,,0.224
3,"GROUND TURKEY,93% LN,7% FAT,RAW",72.63,18.73,8.34,0.92,0.0,0.0,0.0,0.107,1.0,73.0,22.0,0.4,14.0,2.17,2.843,2.537,28.0,1 oz,453.0,1 lb,0.0,0.021,0.00117,0.021,0.193,0.213,0.069,0.0025299999999999997,8e-06,0.00019,0.0,6.7e-05,0.000185,0.005417,0.00035,7e-05,0.0,7e-05,7e-05,0.053,1.2e-05,0.00022,0.0,0.0,0.0,0.0,0.0,0.00011,0.0,0.074
4,"TURKEY,RTL PARTS,ENHANCED,BREAST,MEAT ONLY,CKD,RSTD",69.99,27.94,2.08,1.4,0.0,0.0,0.0,0.057,0.965,8.0,3.0,0.1,6.0,0.428,0.67,0.668,85.0,3 oz,852.0,1 breast,24.0,0.015,0.0005899999999999999,0.027,0.219,0.264,0.184,0.00133,6e-06,0.000289,0.0,4.4999999999999996e-05,0.000195,0.0115,0.000734,9e-05,0.0,9e-05,9e-05,0.074,3e-06,3e-05,0.0,0.0,0.0,0.0,5e-05,8e-05,0.0,0.074
5,"PORK,CURED,HAM,REG (APPROX 13% FAT),CND,RSTD",60.93,20.53,15.2,2.93,0.42,0.0,,0.13,0.73,0.0,0.0,,,5.04,7.07,1.78,140.0,1 cup,85.0,3 oz,0.0,0.008,0.0013700000000000001,0.017,0.243,0.357,0.941,0.0025,2.9e-05,0.000359,0.014,0.00082,0.00026000000000000003,0.0053,0.0003,5e-05,0.0,5e-05,5e-05,,1.06e-05,0.0,,,,,,,,0.062
6,"PEANUT BUTTER,SMOOTH,RED FAT",1.2,25.9,34.0,3.25,35.65,5.2,9.28,0.58,1.066,0.0,0.0,0.0,0.0,5.76,16.156,9.182,36.0,2 tablespoon,,,0.0,0.035,0.0019,0.17,0.369,0.669,0.54,0.0028,0.0014750000000000002,7.5e-05,0.0,0.00027,5.9999999999999995e-05,0.0146,0.00031,0.0006,0.0,0.0006,0.0006,0.0634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00904,6e-06,0.0
7,"PORK,CURED,HAM -- H2O ADDED,WHL,BNLESS,LN,UNHTD",73.95,17.34,3.97,3.56,1.45,0.0,1.45,0.101,0.734,42.0,13.0,0.6,23.0,1.428,1.938,0.577,85.0,3 oz,,,3.0,0.008,0.00086,0.019,0.265,0.317,1.141,0.0017900000000000001,2.2e-05,0.000351,0.0,0.000402,0.000187,0.005473,0.00041299999999999996,2e-05,0.0,2e-05,2e-05,0.0717,4.7e-06,0.00013,0.0,0.0,0.0,0.0,0.0,0.00020999999999999998,0.0,0.05
8,"PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN,RAW",72.84,20.76,5.64,1.01,0.0,0.0,0.0,0.083,1.737,0.0,0.0,0.5,22.0,2.012,2.477,0.645,85.0,3 oz,197.0,1 rib,41.0,0.021,0.0009,0.023,0.204,0.338,0.067,0.003,1.2e-05,0.00034799999999999995,0.0,0.00039400000000000004,0.00027100000000000003,0.003097,0.0005769999999999999,0.0,0.0,0.0,0.0,0.0873,1.01e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,0.0,0.074
9,"ICE CREAMS,STRAWBERRY",60.0,3.2,8.4,0.7,27.6,0.9,,0.037,0.72,320.0,96.0,,,5.19,,,58.0,"1 individual,  (3.5 fl oz)",66.0,".5 cup,  (4 fl oz)",0.0,0.12,0.00020999999999999998,0.014,0.1,0.188,0.06,0.00034,7.8e-05,1.8999999999999998e-05,0.0077,4.4999999999999996e-05,0.000255,0.00017,5e-05,0.00012,0.0,0.00012,0.00012,,3e-06,0.00096,,,,,,,,0.029
